pago_id,metodo_pago,total,descuento,copago,fecha_pago,estado_pago
73,Seguro,246.72,46.43,57.12,2023-07-29,Pagado
74,Transferencia,256.55,27.07,81.67,2023-10-31,Anulado
75,Seguro,604.5,197.3,24.11,2025-02-10,Pagado
76,Seguro,126.99,260.71,71.83,2024-05-12,Pagado
77,Seguro,304.55,137.15,21.51,2023-12-15,Pendiente
78,Tarjeta,1392.4,196.62,96.66,2024-12-16,Pagado
79,Transferencia,313.59,46.56,95.52,2023-06-24,Anulado
80,Tarjeta,1124.44,264.47,95.53,2023-08-23,Anulado
81,Seguro,1209.13,197.17,58.52,2024-06-20,Anulado
82,Transferencia,392.59,165.2,23.65,2024-11-02,Pagado
83,Transferencia,997.31,210.74,24.45,2023-07-22,Anulado
84,Tarjeta,514.3,281.91,26.68,2023-07-31,Pagado
85,Seguro,1100.94,138.91,74.37,2023-11-05,Pendiente
86,Tarjeta,284.26,117.92,24.71,2024-04-27,Pagado
87,Transferencia,428.5,76.17,81.08,2024-07-13,Pendiente
88,Efectivo,311.67,134.05,82.49,2025-04-04,Anulado
89,Seguro,53.9,171.31,44.01,2023-09-13,Pagado
90,Efectivo,530.11,200.02,59.59,2023-12-15,Anulado
91,Seguro,1092.21,64.27,70.79,2025-02-14,Pendiente
92,Tarjeta,890.39,167.49,91.5,2025-04-19,Pagado
93,Tarjeta,266.4,243.7,75.27,2024-08-22,Pagado
94,Tarjeta,1200.19,119.14,79.06,2023-12-06,Pagado
95,Tarjeta,301.24,265.01,26.53,2023-07-20,Anulado
96,Seguro,929.54,281.92,88.48,2024-07-03,Anulado
97,Seguro,556.5,63.18,74.0,2024-06-24,Anulado
98,Transferencia,1017.65,107.21,23.68,2023-06-21,Anulado
99,Seguro,1390.24,239.61,92.25,2023-07-13,Pagado
100,Tarjeta,75.14,293.4,23.63,2024-08-01,Pendiente
101,Efectivo,1231.28,256.56,57.39,2024-05-23,Pagado
102,Seguro,146.29,250.56,16.3,2025-03-17,Pagado
103,Efectivo,83.12,44.76,57.72,2025-05-01,Anulado
104,Transferencia,1012.81,27.74,19.88,2023-09-26,Pendiente
105,Tarjeta,132.2,246.97,91.17,2025-03-07,Anulado
106,Seguro,1488.66,24.79,68.68,2024-10-02,Pendiente
107,Efectivo,932.61,34.55,39.78,2025-02-26,Anulado
108,Tarjeta,1111.05,34.67,15.74,2024-10-22,Anulado
109,Seguro,644.66,225.8,13.96,2025-05-08,Pagado
110,Efectivo,218.1,114.77,10.45,2024-05-26,Pagado
111,Efectivo,225.39,216.5,44.65,2023-12-25,Anulado
112,Transferencia,1009.49,277.66,76.0,2024-01-21,Pagado
113,Tarjeta,1391.95,224.03,21.41,2024-12-31,Pendiente
114,Tarjeta,675.6,101.19,53.61,2023-09-19,Anulado
115,Tarjeta,710.25,263.06,81.13,2023-09-21,Anulado
116,Efectivo,266.97,235.5,17.61,2023-08-23,Pagado
117,Transferencia,82.93,167.52,39.48,2023-06-21,Anulado
118,Tarjeta,1386.8,257.95,57.64,2023-06-20,Pendiente
119,Tarjeta,267.69,86.01,12.88,2023-09-25,Anulado
120,Tarjeta,1065.91,110.02,96.77,2023-08-21,Anulado
121,Seguro,1267.49,19.81,74.21,2024-11-02,Anulado
122,Efectivo,1217.78,64.39,66.7,2023-07-25,Anulado
123,Transferencia,235.89,208.37,49.66,2024-10-27,Pagado
124,Efectivo,381.85,136.12,14.19,2025-01-23,Pagado
125,Seguro,1405.99,164.91,53.96,2024-07-06,Pendiente
126,Transferencia,1155.73,39.1,84.63,2024-06-24,Pendiente
127,Efectivo,1337.75,233.56,2.56,2025-01-17,Pendiente
128,Efectivo,662.57,108.55,16.2,2023-12-02,Pagado
129,Seguro,453.0,49.91,61.94,2024-05-09,Pendiente
130,Efectivo,675.27,258.59,2.24,2024-01-25,Pagado
131,Tarjeta,233.4,84.42,65.01,2023-09-02,Pagado
132,Transferencia,513.18,285.87,15.86,2023-12-22,Anulado
133,Efectivo,371.66,213.1,28.55,2023-06-07,Pagado
134,Efectivo,230.81,184.84,90.8,2024-11-29,Pendiente
135,Seguro,868.42,230.52,45.15,2025-03-05,Pendiente
136,Transferencia,953.21,111.27,59.01,2024-07-09,Pendiente
137,Transferencia,463.31,253.05,94.58,2025-02-15,Pendiente
138,Seguro,1270.29,41.06,81.01,2025-04-30,Pendiente
139,Seguro,53.96,13.24,5.94,2024-09-29,Pagado
140,Efectivo,106.16,7.99,91.15,2023-05-26,Pendiente
141,Tarjeta,195.55,119.59,76.34,2024-09-17,Pagado
142,Seguro,284.72,154.88,54.44,2025-02-05,Anulado
143,Efectivo,1227.89,201.06,44.78,2024-04-09,Pagado
144,Efectivo,1309.23,32.45,34.27,2023-10-31,Pagado
145,Seguro,172.43,152.51,40.86,2024-07-16,Pagado
146,Tarjeta,128.13,213.79,33.21,2024-08-04,Pagado
147,Transferencia,573.63,159.21,27.55,2024-12-07,Pendiente
148,Tarjeta,1211.49,52.49,70.41,2023-11-30,Pagado
149,Efectivo,869.44,54.52,53.17,2023-10-27,Anulado
150,Transferencia,697.89,211.02,59.62,2024-04-24,Pendiente
151,Efectivo,346.61,168.38,33.38,2023-07-29,Anulado
152,Tarjeta,930.1,46.98,80.99,2024-09-21,Pendiente
153,Transferencia,1265.58,266.89,43.68,2025-03-10,Pagado
154,Efectivo,562.19,19.22,24.05,2023-07-21,Pagado
155,Seguro,77.52,17.27,26.6,2025-01-05,Pendiente
156,Seguro,195.24,289.52,62.68,2023-12-25,Pagado
157,Efectivo,1202.9,15.17,58.85,2024-07-11,Anulado
158,Seguro,230.27,75.69,1.96,2024-03-07,Anulado
159,Transferencia,899.07,163.16,94.15,2024-12-15,Pagado
160,Transferencia,882.54,94.51,66.77,2023-12-06,Anulado
161,Efectivo,509.17,51.64,25.55,2024-06-12,Anulado
162,Efectivo,1221.36,89.29,83.01,2024-07-14,Pendiente
163,Seguro,1185.82,158.76,49.28,2024-08-23,Pagado
164,Efectivo,338.06,177.1,68.52,2025-04-26,Pendiente
165,Seguro,924.33,224.97,10.21,2025-05-07,Pendiente
166,Efectivo,265.24,145.49,95.25,2024-04-24,Pendiente
167,Seguro,877.98,74.47,83.09,2024-08-07,Pendiente
168,Seguro,315.37,221.09,96.7,2023-09-26,Anulado
169,Transferencia,895.15,273.59,99.57,2024-11-02,Pendiente
170,Efectivo,147.14,246.76,26.41,2024-10-24,Pendiente
171,Tarjeta,88.15,140.18,51.56,2024-03-25,Anulado
172,Tarjeta,203.25,123.22,84.1,2023-06-13,Anulado
173,Efectivo,964.7,198.13,25.95,2024-11-15,Anulado
174,Efectivo,391.06,205.3,75.09,2024-07-03,Anulado
175,Seguro,1356.21,269.23,8.35,2024-11-24,Pendiente
176,Efectivo,1109.89,161.25,62.6,2024-04-03,Pendiente
177,Efectivo,1232.21,255.42,97.05,2024-11-30,Pendiente
178,Transferencia,490.97,41.47,75.78,2024-01-09,Pendiente
179,Transferencia,806.82,221.23,23.31,2024-09-27,Pendiente
180,Transferencia,684.62,3.46,17.26,2024-12-25,Pagado
181,Transferencia,833.14,125.64,32.02,2024-02-14,Anulado
182,Efectivo,1251.78,53.95,18.89,2023-12-25,Anulado
183,Efectivo,484.36,120.97,76.46,2024-01-20,Anulado
184,Efectivo,1404.52,153.27,49.97,2023-10-31,Anulado
185,Transferencia,1197.62,179.97,42.35,2025-04-06,Anulado
186,Tarjeta,721.87,225.65,57.86,2023-08-30,Anulado
187,Seguro,1013.65,15.01,4.31,2024-05-29,Pendiente
188,Tarjeta,1084.4,77.6,79.05,2024-05-03,Anulado
189,Seguro,213.11,128.14,49.44,2025-02-05,Anulado
190,Tarjeta,306.69,85.24,89.38,2023-10-06,Anulado
191,Tarjeta,533.3,113.22,10.7,2023-10-08,Pendiente
192,Seguro,313.5,192.0,88.48,2024-11-20,Pendiente
193,Transferencia,1260.88,112.89,54.68,2024-02-12,Anulado
194,Transferencia,1406.56,128.79,26.56,2023-09-06,Anulado
195,Transferencia,269.95,133.18,15.29,2024-08-31,Pendiente
196,Efectivo,609.61,47.94,93.34,2024-05-13,Anulado
197,Tarjeta,1247.0,121.99,54.26,2024-04-25,Pagado
198,Efectivo,778.67,172.16,78.93,2024-11-09,Pagado
199,Transferencia,825.2,159.81,50.18,2025-04-12,Anulado
200,Efectivo,1326.48,41.24,25.85,2024-10-24,Pendiente
201,Tarjeta,1486.36,225.87,44.52,2025-05-02,Anulado
202,Efectivo,666.13,186.97,6.34,2023-10-17,Pendiente
203,Efectivo,360.96,248.91,58.65,2024-12-29,Anulado
204,Tarjeta,568.73,226.65,59.97,2024-07-21,Pagado
205,Tarjeta,1086.37,32.39,21.33,2023-07-17,Anulado
206,Seguro,1346.94,102.52,98.1,2024-06-20,Pagado
207,Transferencia,515.77,153.31,40.06,2023-07-27,Anulado
208,Efectivo,1369.51,108.09,95.61,2025-02-05,Pendiente
209,Seguro,259.73,37.37,9.74,2024-05-02,Pendiente
210,Efectivo,1315.91,209.1,27.36,2023-11-12,Anulado
211,Seguro,632.99,18.95,75.56,2024-08-14,Pendiente
212,Efectivo,1169.98,38.03,25.87,2024-02-20,Anulado
213,Efectivo,842.72,286.93,72.95,2024-11-11,Pendiente
214,Seguro,1258.33,43.64,27.15,2023-08-16,Pendiente
215,Transferencia,649.86,254.34,10.46,2024-06-19,Pagado
216,Transferencia,952.69,275.74,62.66,2023-12-05,Pendiente
217,Seguro,943.88,161.52,80.48,2024-03-21,Pagado
218,Seguro,1059.89,164.87,31.16,2024-03-18,Anulado
219,Seguro,872.47,206.61,86.67,2024-07-27,Pendiente
220,Transferencia,903.11,293.67,80.36,2024-06-25,Pagado
221,Efectivo,229.97,40.43,59.91,2023-09-26,Pagado
222,Efectivo,1274.99,234.31,99.47,2025-02-04,Pagado
223,Seguro,1339.27,13.35,11.34,2023-12-08,Pendiente
224,Efectivo,662.6,218.46,22.71,2023-06-14,Anulado
225,Seguro,350.36,94.32,41.08,2024-03-13,Anulado
226,Tarjeta,195.01,173.78,32.77,2024-06-20,Anulado
227,Efectivo,599.53,2.3,2.48,2023-12-10,Anulado
228,Transferencia,1220.14,89.61,97.13,2024-10-21,Pendiente
229,Tarjeta,118.09,276.15,99.86,2024-04-07,Anulado
230,Transferencia,1189.0,222.17,55.68,2024-07-30,Pendiente
231,Seguro,771.38,15.0,78.92,2023-09-08,Pendiente
232,Tarjeta,70.81,237.15,31.07,2024-09-01,Pendiente
233,Transferencia,760.54,132.93,53.75,2023-11-12,Pagado
234,Seguro,1184.65,92.56,31.89,2024-06-06,Pagado
235,Tarjeta,1182.83,241.58,2.89,2024-02-25,Pagado
236,Tarjeta,1292.7,110.86,79.89,2023-07-05,Pendiente
237,Tarjeta,1288.72,55.3,41.87,2024-05-27,Anulado
238,Transferencia,128.58,118.95,33.4,2024-02-09,Anulado
239,Transferencia,381.91,16.11,69.48,2024-01-26,Anulado
240,Seguro,282.38,56.02,17.49,2025-04-19,Pendiente
241,Tarjeta,1446.75,239.46,42.82,2024-08-15,Pendiente
242,Seguro,500.39,40.3,31.6,2024-12-19,Pagado
243,Seguro,90.24,23.72,28.09,2023-05-29,Pagado
244,Efectivo,590.14,291.72,50.34,2025-02-27,Pendiente
245,Seguro,1490.39,1.84,90.44,2023-07-21,Anulado
246,Efectivo,207.1,176.64,98.2,2023-10-17,Pendiente
247,Seguro,1487.87,38.36,87.46,2024-08-14,Pagado
248,Transferencia,693.93,235.68,1.36,2023-10-07,Pendiente
249,Seguro,245.62,215.48,79.25,2024-08-05,Pagado
250,Seguro,160.4,219.13,91.95,2025-04-24,Pagado
251,Tarjeta,816.7,68.64,75.97,2023-06-21,Pendiente
252,Transferencia,380.57,103.72,58.87,2024-06-02,Pendiente
253,Efectivo,718.75,105.11,81.9,2023-11-28,Pagado
254,Transferencia,1475.93,284.4,17.48,2024-07-11,Pagado
255,Efectivo,1024.04,208.41,23.26,2024-11-03,Pendiente
256,Transferencia,574.94,225.73,95.0,2023-12-22,Pagado
257,Efectivo,1029.94,128.77,30.55,2025-03-12,Pendiente
258,Transferencia,995.7,101.56,14.56,2024-03-30,Pagado
259,Efectivo,211.54,283.34,15.42,2024-12-16,Anulado
260,Seguro,463.93,161.18,76.53,2023-08-22,Anulado
261,Seguro,1039.15,186.24,81.56,2023-09-20,Pagado
262,Seguro,685.66,232.07,76.42,2025-01-18,Pagado
263,Transferencia,985.34,203.56,16.64,2024-11-10,Pagado
264,Efectivo,327.86,249.78,53.89,2023-06-18,Anulado
265,Tarjeta,1238.49,269.32,35.36,2023-06-06,Pagado
266,Efectivo,1211.73,20.18,78.4,2023-07-26,Pagado
267,Efectivo,419.65,214.43,19.44,2023-06-02,Pendiente
268,Tarjeta,521.25,163.6,82.97,2024-02-09,Pendiente
269,Tarjeta,529.98,68.86,30.56,2024-01-07,Pagado
270,Efectivo,796.32,214.55,39.63,2024-08-19,Pendiente
271,Transferencia,795.57,20.09,42.5,2024-03-19,Pagado
272,Transferencia,418.45,275.04,95.55,2024-04-18,Pendiente
273,Transferencia,669.87,247.76,21.03,2023-11-08,Anulado
274,Transferencia,1048.23,142.53,61.95,2023-07-08,Pendiente
275,Efectivo,72.58,205.87,75.57,2024-07-08,Anulado
276,Transferencia,399.34,178.73,14.71,2023-12-12,Pendiente
277,Transferencia,1317.49,220.6,80.39,2025-01-20,Anulado
278,Seguro,1482.85,158.31,77.64,2024-05-23,Anulado
279,Efectivo,493.81,295.59,48.12,2025-01-26,Anulado
280,Tarjeta,1264.39,31.4,83.97,2025-01-31,Anulado
281,Tarjeta,418.0,69.77,81.02,2023-12-07,Anulado
282,Seguro,1080.19,52.51,13.22,2023-08-13,Pagado
283,Tarjeta,908.97,48.82,23.55,2024-10-09,Anulado
284,Efectivo,268.87,33.82,64.61,2024-12-10,Anulado
285,Seguro,93.62,275.99,15.71,2023-09-29,Anulado
286,Tarjeta,1475.94,155.12,51.47,2023-11-27,Pagado
287,Tarjeta,293.29,36.34,81.62,2024-01-27,Pagado
288,Tarjeta,383.53,266.69,1.63,2024-09-16,Anulado
289,Seguro,718.9,113.82,4.53,2024-07-21,Pagado
290,Seguro,1086.56,36.51,54.77,2024-06-07,Pendiente
291,Tarjeta,590.37,239.06,28.88,2023-09-04,Anulado
292,Tarjeta,1351.72,86.81,31.93,2024-10-24,Pagado
293,Efectivo,904.97,226.54,78.62,2023-05-12,Pendiente
294,Seguro,1185.41,229.93,55.03,2024-12-21,Pagado
295,Tarjeta,506.55,122.6,98.24,2025-03-28,Pendiente
296,Efectivo,100.56,59.57,77.31,2025-03-15,Pagado
297,Seguro,1261.19,121.28,18.24,2023-08-14,Pendiente
298,Transferencia,1418.01,285.75,58.83,2023-12-21,Pendiente
299,Efectivo,530.54,270.88,4.61,2023-10-03,Pendiente
300,Seguro,662.02,27.61,1.3,2024-01-05,Anulado
301,Seguro,1378.4,89.73,8.65,2023-12-07,Pagado
302,Tarjeta,1480.83,0.48,44.7,2024-06-26,Pendiente
303,Efectivo,628.29,245.38,91.63,2025-04-13,Pendiente
304,Seguro,110.84,184.55,36.73,2024-05-09,Anulado
305,Tarjeta,673.35,164.47,29.42,2024-04-19,Pagado
306,Seguro,824.73,170.24,62.18,2024-09-23,Pagado
307,Seguro,930.05,235.47,52.8,2024-08-27,Anulado
308,Seguro,859.14,156.01,63.53,2023-08-31,Pagado
309,Seguro,817.25,204.64,64.08,2024-06-22,Anulado
310,Efectivo,577.92,111.3,59.14,2025-01-01,Pagado
311,Transferencia,707.62,23.26,45.45,2023-08-07,Pendiente
312,Efectivo,1055.16,71.02,2.23,2023-11-23,Pagado
313,Tarjeta,675.84,210.46,98.83,2024-08-12,Pendiente
314,Tarjeta,601.2,90.82,7.87,2023-10-02,Pagado
315,Transferencia,1405.06,282.22,78.4,2024-09-07,Pendiente
316,Transferencia,790.22,291.45,11.78,2024-07-14,Pendiente
317,Seguro,471.64,27.06,74.8,2025-03-11,Pendiente
318,Transferencia,608.39,55.46,7.46,2023-07-26,Anulado
319,Tarjeta,456.48,182.57,59.22,2025-01-02,Pagado
320,Seguro,436.09,48.82,60.32,2023-07-26,Pendiente
321,Transferencia,792.73,22.33,5.34,2023-12-29,Anulado
322,Transferencia,1095.46,109.93,91.62,2024-12-03,Pagado
323,Transferencia,1037.47,111.85,83.34,2023-09-28,Pagado
324,Transferencia,680.92,151.74,0.29,2023-10-29,Anulado
325,Tarjeta,233.18,260.89,49.69,2024-10-01,Pagado
326,Efectivo,1410.24,14.93,63.21,2023-12-27,Pagado
327,Transferencia,644.51,285.19,45.94,2024-06-05,Pagado
328,Tarjeta,453.75,259.36,99.19,2024-06-04,Anulado
329,Tarjeta,1383.34,183.31,88.74,2024-12-25,Pendiente
330,Efectivo,134.7,145.64,65.19,2024-12-29,Anulado
331,Tarjeta,283.33,78.55,45.26,2024-06-18,Pagado
332,Tarjeta,1490.84,21.75,94.16,2025-02-03,Anulado
333,Transferencia,59.06,19.77,78.63,2024-06-23,Anulado
334,Efectivo,182.63,172.31,97.47,2023-06-17,Anulado
335,Tarjeta,1273.57,265.77,10.92,2024-09-13,Anulado
336,Efectivo,506.73,128.22,74.75,2023-11-06,Pagado
337,Transferencia,379.75,245.08,79.39,2024-05-30,Pagado
338,Tarjeta,339.43,9.85,7.09,2023-07-03,Pendiente
339,Transferencia,1036.7,1.38,48.39,2025-05-11,Anulado
340,Efectivo,1322.02,172.2,31.23,2023-08-31,Anulado
341,Transferencia,1063.73,68.1,64.59,2025-01-03,Anulado
342,Seguro,649.15,166.6,21.33,2024-01-06,Pendiente
343,Transferencia,240.68,77.13,95.65,2024-02-10,Pagado
344,Seguro,1262.68,26.43,62.44,2024-12-19,Anulado
345,Tarjeta,1467.24,60.66,31.09,2024-08-31,Anulado
346,Efectivo,359.17,231.15,77.34,2025-04-16,Pagado
347,Transferencia,531.82,46.12,77.47,2023-09-23,Anulado
348,Seguro,371.58,54.95,46.83,2023-09-08,Pendiente
349,Tarjeta,1457.69,235.1,72.84,2025-04-30,Pendiente
350,Transferencia,809.83,264.39,24.2,2023-09-06,Pagado
351,Seguro,818.41,121.69,27.3,2024-07-21,Anulado
352,Seguro,106.43,128.78,19.38,2024-09-26,Anulado
353,Tarjeta,1485.1,298.94,89.1,2025-03-13,Anulado
354,Tarjeta,843.39,290.3,31.79,2023-12-04,Pagado
355,Seguro,1385.65,239.34,63.06,2023-07-04,Pendiente
356,Seguro,1376.76,162.06,33.08,2023-08-19,Pagado
357,Seguro,1233.64,278.1,70.47,2025-02-06,Pendiente
358,Transferencia,701.03,100.67,8.01,2024-02-27,Pendiente
359,Tarjeta,348.69,54.83,82.47,2024-11-16,Anulado
360,Efectivo,834.22,99.99,76.57,2024-04-18,Pagado
361,Efectivo,765.41,209.95,73.06,2024-07-18,Anulado
362,Efectivo,1339.75,29.92,8.33,2023-05-17,Pagado
363,Seguro,1179.42,282.42,9.48,2025-01-29,Anulado
364,Efectivo,256.37,241.63,70.42,2023-11-10,Pendiente
365,Seguro,128.28,210.81,16.82,2023-12-10,Pagado
366,Seguro,1089.78,111.28,23.38,2023-09-14,Pendiente
367,Efectivo,1039.75,299.46,89.3,2024-01-29,Anulado
368,Tarjeta,314.25,270.34,78.49,2025-02-05,Anulado
369,Transferencia,1314.29,17.86,15.79,2024-04-26,Pendiente
370,Efectivo,164.46,33.3,21.46,2024-12-07,Anulado
371,Tarjeta,1364.43,104.11,79.79,2024-03-15,Anulado
372,Transferencia,688.22,267.18,33.98,2023-08-17,Pendiente
373,Transferencia,113.55,250.43,9.99,2024-10-26,Pendiente
374,Tarjeta,1274.56,139.11,55.07,2024-11-28,Pendiente
375,Transferencia,983.67,274.04,66.64,2024-03-19,Pagado
376,Efectivo,64.1,117.8,95.74,2023-10-15,Anulado
377,Tarjeta,1456.26,231.86,1.22,2023-09-13,Anulado
378,Efectivo,54.36,104.46,93.77,2025-01-24,Pagado
379,Seguro,116.13,183.47,97.23,2023-08-23,Pendiente
380,Efectivo,154.41,89.97,61.34,2023-09-25,Pagado
381,Tarjeta,1486.2,101.04,61.54,2024-04-30,Pagado
382,Transferencia,551.86,225.01,90.93,2023-08-02,Anulado
383,Transferencia,262.44,108.4,7.07,2025-04-09,Pagado
384,Seguro,1447.44,170.82,57.76,2024-01-11,Anulado
385,Efectivo,626.79,128.54,91.4,2024-01-11,Anulado
386,Efectivo,156.85,116.06,43.92,2025-04-04,Pendiente
387,Efectivo,1178.53,268.63,99.61,2024-03-05,Anulado
388,Transferencia,1056.86,37.59,88.98,2024-01-31,Pagado
389,Tarjeta,876.9,86.69,58.11,2024-04-22,Pendiente
390,Tarjeta,79.74,117.79,45.85,2024-10-15,Pagado
391,Transferencia,525.73,65.39,63.29,2024-11-26,Pagado
392,Efectivo,765.18,295.61,31.31,2023-09-19,Pagado
393,Seguro,316.29,31.73,53.72,2023-12-07,Pagado
394,Efectivo,960.22,198.45,57.27,2024-08-01,Pagado
395,Tarjeta,1194.45,92.31,85.6,2025-02-06,Pagado
396,Efectivo,1118.98,9.58,3.98,2025-03-20,Pendiente
397,Efectivo,566.45,1.69,76.43,2023-06-03,Anulado
398,Seguro,790.13,72.89,15.15,2024-04-02,Pagado
399,Efectivo,606.84,133.22,79.46,2023-12-31,Anulado
400,Efectivo,458.31,203.5,95.77,2023-10-08,Pendiente
401,Transferencia,1143.64,298.81,55.65,2024-04-02,Anulado
402,Seguro,518.75,169.68,18.61,2023-12-18,Pagado
403,Seguro,501.94,118.57,23.09,2024-01-13,Pagado
404,Seguro,1023.0,264.69,79.73,2024-06-11,Anulado
405,Tarjeta,713.48,106.12,18.65,2024-08-22,Pendiente
406,Seguro,1475.79,266.98,69.49,2023-10-02,Pagado
407,Efectivo,1365.63,34.36,80.12,2023-08-05,Pagado
408,Tarjeta,1084.86,165.22,18.09,2023-07-05,Pendiente
409,Tarjeta,193.51,238.58,72.56,2023-11-30,Pagado
410,Efectivo,561.23,273.12,78.57,2024-02-09,Anulado
411,Seguro,1098.04,205.92,56.55,2024-03-29,Pendiente
412,Efectivo,1170.56,150.94,21.14,2023-11-08,Pendiente
413,Transferencia,847.85,24.47,58.85,2025-03-10,Pendiente
414,Seguro,1050.89,141.13,70.4,2024-10-13,Pagado
415,Seguro,856.22,13.34,5.03,2024-04-10,Pendiente
416,Tarjeta,744.19,229.68,69.94,2024-10-19,Pagado
417,Efectivo,843.86,112.63,94.26,2023-11-30,Anulado
418,Seguro,1353.86,241.11,27.61,2023-07-03,Pendiente
419,Efectivo,1003.17,298.63,13.81,2025-01-12,Anulado
420,Seguro,285.64,16.19,55.12,2024-12-28,Anulado
421,Transferencia,828.15,187.58,83.87,2024-02-09,Pagado
422,Tarjeta,1010.6,46.65,25.2,2024-05-14,Pendiente
423,Transferencia,756.55,83.63,21.14,2024-04-15,Pagado
424,Efectivo,145.76,292.18,95.66,2023-11-26,Anulado
425,Tarjeta,1066.6,201.94,73.57,2024-08-06,Anulado
426,Efectivo,234.99,190.21,97.87,2024-01-23,Pendiente
